company,price,change
Microsoft Corporation (MSFT),404.52,(-0.42%)
International Business Machines Corporation (IBM),191.73,(-2.15%)
General Electric Company (GE),166.56,(-0.83%)
Union Pacific Corporation (UNP),249.87,(-0.43%)
Costco Wholesale Corporation (COST),714.08,(-1.58%)
McDonald's Corporation (MCD),294.82,(+0.78%)
Visa Inc. (V),280.56,(+0.19%)
Walmart Inc. (WMT),60.66,(+0.90%)
The Walt Disney Company (DIS),112.31,(+1.80%)
3M Company (MMM),94.05,(+0.16%)
Intel Corporation (INTC),44.86,(+1.95%)
American Express Company (AXP),220.19,(-1.42%)
Apple Inc. (AAPL),172.75,(+1.18%)
The Boeing Company (BA),192.49,(-3.02%)
"Cisco Systems, Inc. (CSCO)",50.22,(+1.45%)
"The Goldman Sachs Group, Inc. (GS)",386.16,(-0.21%)
JPMorgan Chase & Co. (JPM),188.29,(+0.04%)
"Salesforce, Inc. (CRM)",306.00,(+0.24%)
Verizon Communications Inc. (VZ),40.13,(+1.57%)
